はこ 箱 箱子；盒子；容器等
たかめる 高める 他动词，提高，抬高；增强，加强；（使）高涨，（使）旺盛
こうか 高価 高价的，昂贵的，价格高的
こうそつ 高卒 高中毕业；高中毕业生（「高等学校卒業」的略称）
こうめい 高名 著名，有名（多用来形容人、事物的名声、声誉较高，被很多人知晓、认可）
こうそう 高層 高层，指建筑物等具有较多楼层、高度较高的（部分或整体），也可用于比喻组织、机构等中地位较高、层级较高的部分或人员等
こうそうビル 高層ビル 高楼，大厦，高层建筑
こうど 高度 1. 高度，海拔；2. （程度、水平等）高
こうしょ 高所 高处，高地；（对事物的）远见，高见
こうこう 高校 高中（高等学校的略称，指进行中等教育后期阶段教育的学校，通常学制为三年，学生毕业后可升入大学、专门学校等继续深造，或直接进入社会就业）
こうこうせい 高校生 高中生（指正在高中就读的学生）
こうきあつ 高気圧 高气压，指气压比周围高的区域，在高气压控制的地区，通常天气晴朗、稳定。
こうおん 高温 较高的温度，一般指高于常温（或特定基准温度）的温度状态，常用于气象、工业生产、环境等领域描述温度情况，如高温天气、高温作业等。
こうとう 高等 高等的，高级的；地位、程度、水平等较高的
こうとうがっこう 高等学校 高中，高级中学，实施中等教育的学校，通常为三年制，是小学、初中（中等教育前期）之后的教育阶段，对应中国的高中，毕业后可进入大学、专门学校等继续深造或就业。
こうせいど 高精度 名词，指高度的精确程度，常用于形容测量、制造、计算等方面达到的精准度很高。
こうきゅう 高級 等级高；高级，上等；质量好、价格贵、档次高的（物品、服务、场所等）
こうけつあつ 高血圧 高血压（指动脉血压持续升高的一种疾病状态，也可用于指血压升高的生理状况）
こうそくバス 高速バス 高速巴士，长途巴士（通常用于城市之间或较远地区的长距离客运，行驶在高速公路等路况较好的道路上，相比普通巴士速度更快、行程效率相对较高）
こうそくどうろ 高速道路 高速公路，连接城市、地区等，供汽车高速行驶的道路，一般设有出入口、服务区等设施。
たかそう 高配 （汽车、电脑等）高配置
たかびしゃ 高飛車 1. （态度、言行等）盛气凌人，傲慢，高傲，高压 2. （围棋、象棋等）把棋子高高地架在对方棋子上，采取攻势
こうとう 高騰 （价格、物价、费用等）高涨，急剧上涨
こうれい 高齢 名词 高龄，老龄（指人年龄较大，通常用于描述老年人的年龄阶段或相关的社会现象、政策等，如“高齢化社会”表示老龄化社会）
こうれいか 高齢化 老龄化，高龄化（指人口中老年人口比例逐渐增加的社会现象）
こうれいしゃ 高齢者 名词，高龄者，老年人
かみ 髪 头发；毛发
かみのけ 髪の毛 头发（通常带有一定的口语化色彩，相较于「髪（かみ）」，更强调毛发的个体或具体的头发丝等）
かみがた 髪型 头发的形状、样式，即发型
ひげ 髭 胡子，胡须
おに 鬼 1. 鬼怪，魔鬼，妖精；2. 残暴的人，恶人；3. （在某方面）出众的人，能手，高手；4. （纸牌等的）王牌；5. （儿童游戏中的）鬼
たましい 魂 灵魂；精神；心灵；气魄；精髓
みりょう 魅了 使人深深地着迷、陶醉，使对方被自己的魅力、才华、表演等所吸引而沉浸其中
みりょく 魅力 魅力，吸引力，诱惑力
さかな 魚 鱼；鱼肉；笨蛋，蠢货（俚语）
ぎょかいるい 魚介類 鱼贝类，鳞介类（指鱼类和贝类等水产动物的总称）
ユーシャンロウスー 魚香肉絲 中国四川省の代表的な料理の一つ。豚肉や木耳、ニンニク、生姜、青唐辛子、赤唐辛子などを材料にし、魚醤や豆板醤などを使って香辛味と酸味、甘味が特徴の炒め物。
あざやか 鮮やか 1. 色彩、模样等鲜明、鲜艳、亮丽。例：鮮やかな花（鲜艳的花）；2. 动作、技艺等巧妙、熟练、优美。例：鮮やかな演技（精彩的演技）；3. 印象、记忆等清晰、明朗。例：鮮やかな記憶（清晰的记忆）
くじら 鯨 鲸，鲸鱼，大型海洋哺乳动物，多生活在海洋中，部分种类也会在靠近海岸的海域活动，以小型海洋生物等为食。
うなぎ 鰻 鳗鱼，鳗鲡。一种身体细长、呈蛇形的鱼类，多生活在温带和热带海域，部分种类会洄游到淡水中产卵。
うろこ 鱗 1. （鱼、蛇等体表的）鳞，鳞片；2. （像鳞一样的）片状物，鳞状物
とり 鳥 鸟，鸟类；（转）飞机，飞船；（麻将）幺鸡
はと 鳩 鸽子；斑鸠
なきます 鳴きます （动物、鸟、虫等）叫，鸣，啼；（器物、自然界等）发出声响，鸣响
ならす 鳴らす 1. 使（某物）发出声音，敲响，打响，吹（乐器）等；2. 使闻名，使出名，使驰名
なります 鳴ります （声音、乐器、机器等）鸣响，响起；（鸟、虫等）鸣叫；（肚子等）咕噜咕噜叫
なりものいり 鳴り物入り （做事）敲锣打鼓；大张旗鼓；（场面）有锣鼓伴奏（常用于形容举行活动、仪式等时伴有锣鼓等乐器演奏，或做事时大肆宣扬、动静很大）
なる 鳴る 1. 响，发出声音；2. 驰名，闻名；3. （肚子）饿，咕噜咕噜叫；4. （钟表等）走，运转
かも 鴨 1. 鸭子；2. （俗语）冤大头，容易上当受骗的人
うのみ 鵜呑み 囫囵吞枣，不加咀嚼地吞咽（比喻对事物不加分析思考，笼统地接受）
つる 鶴 鹤；（日本传说中）千年鹤（象征长寿、吉祥）
たか 鷹 鹰，鸟类的一种，猛禽，具有锐利的目光和强健的翅膀，善于捕猎小型动物。
しか 鹿 鹿，一种草食性哺乳动物，通常具有角（雄性），动作敏捷，多栖息于森林、草原等自然环境中。
ろく 麓 山脚，山麓（山や丘陵などの下端の部分）
うるわしい 麗しい 优美的；华丽的；动人的；令人感到美好的
むぎ 麦 麦子，小麦；麦粒，麦穗
めんるい 麺類 面条类（如拉面、乌冬面、荞麦面等各种以面粉等为原料制作的面食的统称）
あさ 麻 麻；麻布；麻绳；芝麻
まひ 麻痺 1.（身体の一部が）感覚や運動能力を失い、しびれた状態になること。/（身体某部分）失去感觉和运动能力，处于麻木状态。2.（交通・通信・経済などのシステムが）機能しなくなり、停滞すること。/（交通、通信、经济等系统）无法正常运作，陷入停滞。
ますい 麻酔 麻醉，使失去知觉或感觉，通常用于医疗过程中以减轻疼痛或使患者在手术等操作中无痛苦
きいろ 黄色 黄色，黄颜色
きいろい 黄色い 形容词，意为“黄色的”，也可引申为“色情的”（较口语化，正式场合慎用）
おうごん 黄金 黄金；金色，金黄色
くろ 黒 名词，黑色；黑色的东西；黑夜；邪恶，不法；（围棋）黑子；（姓氏）黑；形容词，黑色的；皮肤黑的；（前途）暗淡的，黑暗的；阴险的，邪恶的；（围棋）黑棋的
くろい 黒い 黑色的；黑暗的；阴险的，邪恶的
くろっぽい 黒っぽい 发黑的，带黑的，有点黑的
こくじ 黒字 （财务上的）盈余，顺差，赚钱（与“赤字（じし）”相对）
こくばん 黒板 黑板，是一种通常为黑色、绿色等颜色的平面，多用于学校、教室等场所，教师在上面书写教学内容，学生进行观看学习，也可用于会议、讲座等场合记录相关信息等。
だまる 黙る 1. 不说话，不出声，沉默；2. 不声张，保密；3. 静止，不动
もくにん 黙認 默认，默许；（法律上的）默认，承认
かび 黴 1. 霉，霉菌，霉斑；2. 陈旧，陈腐，迂腐（常用于形容思想、观念、风格等方面）
ばいきん 黴菌 霉菌，真菌（多细胞的真菌类的总称，与细菌不同，细菌属于原核生物，而霉菌属于真核生物）
つづみ 鼓 鼓，小鼓；（古乐器）鼓
こどう 鼓動 1. 心脏等的跳动，搏动；2. （事物的）跃动，悸动，活力
ねずみ 鼠 老鼠；耗子
はな 鼻 鼻子；鼻涕
いびき 鼾 鼾声，呼噜声
さんわりびき 3割引 名词，指商品或服务的价格按照原价的70%收取，即七折（原价的30%被扣除，所以实际支付价格为原价的1 - 0.3 = 0.7，也就是七折）
シーディー ＣＤ 名词，光盘，激光唱片（Compact Disc的缩写，用于存储音频、数据等的圆形盘片）
アイターンげんしょう Ｉターン現象 指在大城市（如东京等）工作一段时间后，又回到家乡所在的地方城市或农村工作、生活的社会现象。
アイディーカード ＩＤカード 名词，身份证件，身份识别卡（用于证明个人身份的卡片，常见的如身份证、学生证、工作证等带有身份识别功能的卡片）
アイティーさんぎょう IT産業 信息技术产业，通过计算机、网络等信息通信技术进行信息的处理、传输、利用等相关的产业。
ユーターンげんしょう Ｕターン現象 指曾经离开家乡、前往大城市等地方发展的人，后来又回到家乡或原来的地方生活、工作的社会现象。
［いいえ、］まだまだです。 （不，）还不行。还差得远呢。
おすし お寿司 寿司（一种日本传统食物，通常由醋饭搭配生鱼片、海鲜、蔬菜等食材制成）
おふろ お風呂 浴室；洗澡
おしごと お仕事 工作，职业；活儿，活计（也可用于礼貌地询问、提及他人的工作，如「お仕事は何ですか？（您的工作是什么？）」）
おくに お国 贵国；自己的国家；故乡，家乡
おてら お寺 寺庙，寺院
おしょうがつ お正月 新年，正月，元旦及其前后数天；过年期间的活动等
おいのり お祈り 祈祷，祈愿；祷告，祈念（神仏に対して、願い事や御利益を得るために行う言葉や行為。また、その際に用いる言葉や物）
おまつり お祭り 节庆，庆典；祭祀活动；热闹的场面，盛会
